image_filename,prompt
1.jpg,"A product photo of a retro-style running sneaker, light grey and off-white colorway, layered upper with mesh and synthetic overlays, ribbed side panels, geometric patterned heel counter, chunky foam midsole, studio lighting, clean white background, side profile view."
2.jpg,"A product photo of a vibrant blue and white athletic sneaker, mesh and synthetic layered upper, dynamic blue ribbed side panels, distinctive white mudguard wrapping around, geometric patterned heel detail, robust black outsole, studio lighting, clean white background, side profile view."
3.jpg,"A product photo of a black and white casual sneaker, black suede and mesh upper, prominent white leather swoosh, thick black midsole with textured rubber outsole, white laces, small green pull tab at heel, studio lighting, clean white background, side profile view."
4.jpg,"A product photo of a high-top retro basketball sneaker, classic Jordan 1 silhouette, black, vibrant orange, and off-white leather panels, black laces, iconic black swoosh, orange outsole, studio lighting, clean grey background, side profile view."
5.jpg,"A product photo of a low-top classic basketball sneaker, iconic Nike Dunk silhouette, crisp black and white leather color block, white toe box with perforations, black laces, prominent black swoosh, white midsole, studio lighting, clean white background, side profile view."
6.jpg,"A product photo of a low-top vintage court sneaker, royal blue canvas and suede upper, with a bright yellow leather swoosh and heel tab, on a classic brown gum rubber sole, studio lighting, clean white background, side profile view."
7.jpg,"A product photo of a high-top waterproof boot-style sneaker, rugged design with black textured toe box and brown tumbled leather mid-panel, gold D-ring eyelets with yellow laces, thick off-white midsole, durable brown rubber outsole, studio lighting, clean white background, side profile view."
8.jpg,"A product photo of a classic low-top sneaker, iconic all-white leather construction, perforated toe box, clean white laces, subtle white leather swoosh, thick white rubber sole with 'AIR' branding, studio lighting, clean white background, side profile view."
9.jpg,"A product photo of a high-top basketball sneaker, classic Air Force 1 High silhouette, off-white tumbled leather upper, with a sage green ankle strap and swoosh outline, perforated toe box, white laces, and a clean white midsole, studio lighting, clean white background, side profile view."
10.jpg,"A product photo of a retro running sneaker, iconic Air Max 97 silhouette, with distinctive fluid wavy lines on the upper, off-white mesh base with navy blue and royal blue synthetic overlays, a full-length visible blue Air unit in the white midsole, studio lighting, clean white background, side profile view."
11.jpg,"A stylized product photo of a futuristic running sneaker, white and blue upper with an airbrushed gradient cage design, a distinctive white midsole with glossy red bubble-like cushioning pods, dramatic studio lighting, on a clean grey gradient background, side profile view."
12.jpg,"A product photo of a modern lifestyle sneaker, iconic Air Max 270 silhouette, featuring a large, translucent lime green Air unit at the heel, a black engineered mesh upper with a white forefoot midsole, subtle white swoosh logos, studio lighting, clean white background, side profile view."
13.jpg,"A product photo of a modern running sneaker, white Flyknit upper with a prominent black swoosh, black laces and inner lining, a full-length transparent Air Max unit in the sole, translucent grey outsole, studio lighting, clean white background, side profile view."
14.jpg,"A product photo of a futuristic running sneaker, light grey and white Flyknit upper, translucent TPU heel counter and swoosh, a full-length transparent VaporMax Air unit sole, studio lighting, clean white background, side profile view."
15.jpg,"A product photo of a sleek black and white running sneaker, breathable mesh upper, prominent white swoosh, white foam midsole with visible Air unit in the heel, black laces, studio lighting, clean white background, side profile view."
16.jpg,"A product photo of a Y2K-era retro running sneaker, complex caged upper with overlapping white and grey-green leather straps, black swoosh, chunky off-white midsole, studio lighting, clean white background, side profile view."
17.jpg,"A product photo of a modern basketball sneaker, light grey knit upper, with a metallic swoosh that has a pink and turquoise gradient, pink and grey patterned laces, a silver and turquoise midsole with a visible pink Zoom Air unit, studio lighting, clean white background, side profile view."
18.jpg,"A product photo of a high-top retro basketball sneaker, iconic Air Jordan 5 silhouette, off-white leather upper with a perforated translucent side netting, a dark grey midsole with pale yellow shark teeth detailing, a visible Air unit, pale yellow laces with a lace lock, and the number 23 stitched on the heel, studio lighting, clean grey background, side profile view."
19.jpg,"A product photo of a modern basketball sneaker, textured navy blue upper, with metallic grey wavy side panels, a vibrant lime green swoosh and tongue logo, translucent outsole, studio lighting, clean white background, side profile view."
20.jpg,"A product photo of a black, white, and red training sneaker, low-top silhouette with a bold black upper, white and black leather overlays, vibrant red lining and accents, prominent white swoosh, white midfoot strap with a red stripe, studio lighting, clean white background, side profile view."
